date,title,location,surface,surfaceType,dollar,opp1,opp1_url,opp2,opp2_url,winner,opp1_set1,opp2_set1,opp1_set2,opp2_set2,opp1_set3,opp2_set3,opp1_set4,opp2_set4,opp1_set5,opp2_set5,match_link,opp1_aces_match,opp1_double_faults_match,opp1_first_serve_perentage_match,opp1_first_serve_points_won_match,opp1_second_serve_points_won,opp1_break_points_saved_match,opp1_service_games_played_match,opp1_first_serve_return_points_won_match,opp1_second_serve_return_points_won_match,opp1_break_points_converted_match,opp1_return_games_played_match,opp1_total_service_points_won_match,opp1_total_return_points_won_match,opp1_total_points_won_match,opp2_aces_match,opp2_double_faults_match,opp2_first_serve_perentage_match,opp2_first_serve_points_won_match,opp2_second_serve_points_won,opp2_break_points_saved_match,opp2_service_games_played_match,opp2_first_serve_return_points_won_match,opp2_second_serve_return_points_won_match,opp2_break_points_converted_match,opp2_return_games_played_match,opp2_total_service_points_won_match,opp2_total_return_points_won_match,opp2_total_points_won_match,opp1_rank,opp1_age,opp1_year_pro,opp1_weight,opp1_height,opp1_hand,opp1_first_serve,opp1_first_serve_points_won,opp1_second_serve_points_won,opp1_break_points_saved,opp1_service_points_won,opp1_total_service_points_won,opp1_first_serve_return_points_won,opp1_second_serve_return_points_won,opp1_break_points_converted,opp1_return_games_won,opp1_return_points_won,opp1_total_points_won,opp1_overall_ytd,opp1_grandslams_ytd,opp1_atpworld_ytd,opp1_tiebreaks_ytd,opp1_vs_top_10_ytd,opp1_finals_ytd,opp1_deciding_set_ytd,opp1_fifth_set_record_ytd,opp1_clay_ytd,opp1_grass_ytd,opp1_hard_ytd,opp1_carpet_ytd,opp1_indoor_ytd,opp1_outdoor_ytd,opp1_after_winning_first_set_ytd,opp1_after_losing_first_set_ytd,opp1_vs_right_handers_ytd,opp1_vs_left_handers_ytd,opp1_overall_career,opp1_grandslams_career,opp1_atpworld_career,opp1_tiebreaks_career,opp1_vs_top_10_career,opp1_finals_career,opp1_deciding_set_career,opp1_fifth_set_record_career,opp1_clay_career,opp1_grass_career,opp1_hard_career,opp1_carpet_career,opp1_indoor_career,opp1_outdoor_career,opp1_after_winning_first_set_career,opp1_after_losing_first_set_career,opp1_vs_right_handers_career,opp1_vs_left_handers_career,opp2_rank,opp2_age,opp2_year_pro,opp2_weight,opp2_height,opp2_hand,opp2_first_serve,opp2_first_serve_points_won,opp2_second_serve_points_won,opp2_break_points_saved,opp2_service_points_won,opp2_total_service_points_won,opp2_first_serve_return_points_won,opp2_second_serve_return_points_won,opp2_break_points_converted,opp2_return_games_won,opp2_return_points_won,opp2_total_points_won,opp2_overall_ytd,opp2_grandslams_ytd,opp2_atpworld_ytd,opp2_tiebreaks_ytd,opp2_vs_top_10_ytd,opp2_finals_ytd,opp2_deciding_set_ytd,opp2_fifth_set_record_ytd,opp2_clay_ytd,opp2_grass_ytd,opp2_hard_ytd,opp2_carpet_ytd,opp2_indoor_ytd,opp2_outdoor_ytd,opp2_after_winning_first_set_ytd,opp2_after_losing_first_set_ytd,opp2_vs_right_handers_ytd,opp2_vs_left_handers_ytd,opp2_overall_career,opp2_grandslams_career,opp2_atpworld_career,opp2_tiebreaks_career,opp2_vs_top_10_career,opp2_finals_career,opp2_deciding_set_career,opp2_fifth_set_record_career,opp2_clay_career,opp2_grass_career,opp2_hard_career,opp2_carpet_career,opp2_indoor_career,opp2_outdoor_career,opp2_after_winning_first_set_career,opp2_after_losing_first_set_career,opp2_vs_right_handers_career,opp2_vs_left_handers_career
2017.01.01,Brisbane International presented by Suncorp,"Brisbane, Australia",Outdoor,Hard,"$495,630",Kei Nishikori,/en/players/kei-nishikori/n552/overview,Grigor Dimitrov,/en/players/grigor-dimitrov/d875/overview,2,2,6,6,2,3,6,0,0,0,0,/en/tournaments/brisbane-international-presented-by-suncorp/339/2017/match-stats/D875/N552/live/MS001/match-stats,4,0,71,73,45,40,12,21,52,29,13,65,31,47,7,2,68,79,48,71,13,27,55,60,12,69,35,53,5,27,2007,(75kg),(178cm),"Right-Handed, Two-Handed Backhand",61%,72%,55%,67%,83%,66%,31%,54%,43%,30%,40%,53%,0.750,0.000,0.000,1.000,1.000,0.000,0.500,0.000,0.000,0.000,0.750,0.000,0.000,0.750,1.000,0.500,0.750,0.000,0.680,0.682,0.643,0.591,0.376,0.524,0.769,0.737,0.718,0.596,0.682,1.000,0.709,0.673,0.908,0.364,0.679,0.691,15,25,2008,(80kg),(191cm),"Right-Handed, One-Handed Backhand",64%,72%,52%,60%,81%,65%,31%,48%,37%,22%,38%,51%,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,0.000,1.000,0.000,0.600,0.569,0.592,0.545,0.258,0.500,0.624,0.500,0.605,0.596,0.596,1.000,0.603,0.599,0.840,0.290,0.585,0.660
2017.01.01,Brisbane International presented by Suncorp,"Brisbane, Australia",Outdoor,Hard,"$495,630",Milos Raonic,/en/players/milos-raonic/r975/overview,Grigor Dimitrov,/en/players/grigor-dimitrov/d875/overview,2,6,7,2,6,0,0,0,0,0,0,/en/tournaments/brisbane-international-presented-by-suncorp/339/2017/match-stats/D875/R975/live/MS002/match-stats,4,3,46,86,48,50,10,25,18,0,10,66,22,45,4,1,62,75,82,0,10,14,52,50,10,78,34,55,3,26,2008,(98kg),(196cm),"Right-Handed, Two-Handed Backhand",64%,80%,55%,69%,91%,71%,28%,49%,35%,18%,36%,53%,0.667,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.667,0.000,0.000,0.667,1.000,0.500,0.500,1.000,0.683,0.716,0.634,0.614,0.342,0.421,0.615,0.615,0.620,0.651,0.708,0.000,0.706,0.677,0.863,0.286,0.701,0.553,15,25,2008,(80kg),(191cm),"Right-Handed, One-Handed Backhand",64%,72%,52%,60%,81%,65%,31%,48%,37%,22%,38%,51%,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,0.000,1.000,0.000,0.600,0.569,0.592,0.545,0.258,0.500,0.624,0.500,0.605,0.596,0.596,1.000,0.603,0.599,0.840,0.290,0.585,0.660
2017.01.01,Brisbane International presented by Suncorp,"Brisbane, Australia",Outdoor,Hard,"$495,630",Kei Nishikori,/en/players/kei-nishikori/n552/overview,Stan Wawrinka,/en/players/stan-wawrinka/w367/overview,1,7,6,6,3,0,0,0,0,0,0,/en/tournaments/brisbane-international-presented-by-suncorp/339/2017/match-stats/N552/W367/live/MS003/match-stats,1,1,73,66,67,80,11,27,58,10,10,66,39,54,9,2,61,73,42,0,10,34,33,20,11,61,34,46,5,27,2007,(75kg),(178cm),"Right-Handed, Two-Handed Backhand",61%,72%,55%,67%,83%,66%,31%,54%,43%,30%,40%,53%,0.750,0.000,0.000,1.000,1.000,0.000,0.500,0.000,0.000,0.000,0.750,0.000,0.000,0.750,1.000,0.500,0.750,0.000,0.680,0.682,0.643,0.591,0.376,0.524,0.769,0.737,0.718,0.596,0.682,1.000,0.709,0.673,0.908,0.364,0.679,0.691,4,31,2002,(81kg),(183cm),"Right-Handed, One-Handed Backhand",58%,75%,56%,68%,86%,67%,29%,50%,39%,23%,38%,52%,0.667,0.000,0.000,0.333,0.000,0.000,1.000,0.000,0.000,0.000,0.667,0.000,0.000,0.667,1.000,0.500,0.667,0.000,0.636,0.730,0.592,0.514,0.359,0.600,0.585,0.558,0.671,0.529,0.635,0.462,0.551,0.658,0.844,0.338,0.640,0.609
2017.01.01,Brisbane International presented by Suncorp,"Brisbane, Australia",Outdoor,Hard,"$495,630",Rafael Nadal,/en/players/rafael-nadal/n409/overview,Milos Raonic,/en/players/milos-raonic/r975/overview,2,6,4,3,6,4,6,0,0,0,0,/en/tournaments/brisbane-international-presented-by-suncorp/339/2017/match-stats/R975/N409/live/MS004/match-stats,4,0,73,64,61,50,14,19,54,14,15,63,32,46,23,3,64,81,46,86,15,36,39,50,14,68,37,54,9,30,2001,(85kg),(185cm),"Left-Handed, Two-Handed Backhand",70%,69%,54%,70%,81%,64%,35%,56%,45%,41%,44%,55%,0.667,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.000,0.000,0.667,0.667,0.000,0.500,1.000,0.822,0.868,0.819,0.604,0.645,0.683,0.680,0.680,0.915,0.773,0.764,0.250,0.682,0.840,0.944,0.427,0.817,0.865,3,26,2008,(98kg),(196cm),"Right-Handed, Two-Handed Backhand",64%,80%,55%,69%,91%,71%,28%,49%,35%,18%,36%,53%,0.667,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.667,0.000,0.000,0.667,1.000,0.500,0.500,1.000,0.683,0.716,0.634,0.614,0.342,0.421,0.615,0.615,0.620,0.651,0.708,0.000,0.706,0.677,0.863,0.286,0.701,0.553
2017.01.01,Brisbane International presented by Suncorp,"Brisbane, Australia",Outdoor,Hard,"$495,630",Stan Wawrinka,/en/players/stan-wawrinka/w367/overview,Kyle Edmund,/en/players/kyle-edmund/e831/overview,1,6,7,6,4,6,4,0,0,0,0,/en/tournaments/brisbane-international-presented-by-suncorp/339/2017/match-stats/W367/E831/live/MS007/match-stats,11,3,56,70,54,85,16,20,66,40,16,63,35,50,2,2,67,80,34,60,16,30,46,15,16,65,37,50,4,31,2002,(81kg),(183cm),"Right-Handed, One-Handed Backhand",58%,75%,56%,68%,86%,67%,29%,50%,39%,23%,38%,52%,0.667,0.000,0.000,0.333,0.000,0.000,1.000,0.000,0.000,0.000,0.667,0.000,0.000,0.667,1.000,0.500,0.667,0.000,0.636,0.730,0.592,0.514,0.359,0.600,0.585,0.558,0.671,0.529,0.635,0.462,0.551,0.658,0.844,0.338,0.640,0.609,45,22,2012,(83kg),(188cm),"Right-Handed, Two-Handed Backhand",59%,72%,51%,64%,78%,64%,27%,50%,40%,23%,36%,50%,0.667,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.000,0.000,0.667,0.667,0.000,0.667,0.000,0.424,0.385,0.250,0.600,0.000,0.000,0.438,0.333,0.545,0.231,0.457,0.000,0.375,0.431,0.676,0.080,0.400,0.625
2017.01.01,Brisbane International presented by Suncorp,"Brisbane, Australia",Outdoor,Hard,"$495,630",Kei Nishikori,/en/players/kei-nishikori/n552/overview,Jordan Thompson,/en/players/jordan-thompson/tc61/overview,1,6,1,6,1,0,0,0,0,0,0,/en/tournaments/brisbane-international-presented-by-suncorp/339/2017/match-stats/N552/TC61/live/MS006/match-stats,3,0,56,95,67,0,7,46,74,63,7,82,57,68,1,2,60,54,26,38,7,5,33,0,7,43,18,32,5,27,2007,(75kg),(178cm),"Right-Handed, Two-Handed Backhand",61%,72%,55%,67%,83%,66%,31%,54%,43%,30%,40%,53%,0.750,0.000,0.000,1.000,1.000,0.000,0.500,0.000,0.000,0.000,0.750,0.000,0.000,0.750,1.000,0.500,0.750,0.000,0.680,0.682,0.643,0.591,0.376,0.524,0.769,0.737,0.718,0.596,0.682,1.000,0.709,0.673,0.908,0.364,0.679,0.691,75,22,2013,(73kg),(183cm),"Right-Handed, Two-Handed Backhand",58%,75%,51%,58%,79%,65%,26%,45%,35%,15%,33%,49%,0.667,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.667,0.000,0.000,0.667,1.000,0.500,0.667,0.000,0.278,0.143,0.000,0.333,0.000,0.000,0.167,0.000,0.500,0.000,0.308,0.000,0.000,0.278,0.571,0.091,0.267,0.333
2017.01.01,Brisbane International presented by Suncorp,"Brisbane, Australia",Outdoor,Hard,"$495,630",Dominic Thiem,/en/players/dominic-thiem/tb69/overview,Grigor Dimitrov,/en/players/grigor-dimitrov/d875/overview,2,3,6,6,4,3,6,0,0,0,0,/en/tournaments/brisbane-international-presented-by-suncorp/339/2017/match-stats/D875/TB69/live/MS005/match-stats,6,5,45,78,53,57,14,19,45,7,14,65,31,47,3,3,55,81,55,93,14,22,47,43,14,69,35,53,8,23,2011,(82kg),(185cm),"Right-Handed, One-Handed Backhand",62%,74%,54%,60%,83%,66%,31%,50%,40%,24%,38%,52%,0.500,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.500,1.000,0.000,0.500,0.000,0.597,0.625,0.521,0.515,0.250,0.700,0.621,0.600,0.702,0.529,0.524,0.000,0.500,0.620,0.862,0.299,0.608,0.533,15,25,2008,(80kg),(191cm),"Right-Handed, One-Handed Backhand",64%,72%,52%,60%,81%,65%,31%,48%,37%,22%,38%,51%,1.000,0.000,0.000,1.000,1.000,1.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000,1.000,1.000,0.000,1.000,0.000,0.600,0.569,0.592,0.545,0.258,0.500,0.624,0.500,0.605,0.596,0.596,1.000,0.603,0.599,0.840,0.290,0.585,0.660
2017.01.01,Brisbane International presented by Suncorp,"Brisbane, Australia",Outdoor,Hard,"$495,630",Milos Raonic,/en/players/milos-raonic/r975/overview,Diego Schwartzman,/en/players/diego-schwartzman/sm37/overview,1,6,3,6,2,0,0,0,0,0,0,/en/tournaments/brisbane-international-presented-by-suncorp/339/2017/match-stats/R975/SM37/live/MS008/match-stats,12,1,75,75,54,67,9,41,60,67,8,70,48,60,0,1,66,59,40,33,8,25,46,33,9,52,30,40,3,26,2008,(98kg),(196cm),"Right-Handed, Two-Handed Backhand",64%,80%,55%,69%,91%,71%,28%,49%,35%,18%,36%,53%,0.667,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.667,0.000,0.000,0.667,1.000,0.500,0.500,1.000,0.683,0.716,0.634,0.614,0.342,0.421,0.615,0.615,0.620,0.651,0.708,0.000,0.706,0.677,0.863,0.286,0.701,0.553,52,24,2010,(64kg),(170cm),"Right-Handed, Two-Handed Backhand",61%,66%,50%,57%,72%,60%,32%,53%,47%,30%,41%,50%,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.500,1.000,0.000,0.500,0.000,0.395,0.231,0.143,0.407,0.000,0.500,0.417,0.000,0.391,0.000,0.452,0.000,0.500,0.380,0.684,0.140,0.385,0.438
2017.01.01,Brisbane International presented by Suncorp,"Brisbane, Australia",Outdoor,Hard,"$495,630",Stan Wawrinka,/en/players/stan-wawrinka/w367/overview,Viktor Troicki,/en/players/viktor-troicki/t840/overview,1,7,6,6,4,0,0,0,0,0,0,/en/tournaments/brisbane-international-presented-by-suncorp/339/2017/match-stats/W367/T840/live/MS015/match-stats,7,2,64,80,65,0,11,15,68,40,11,75,34,53,5,7,65,85,32,60,11,20,35,10,11,66,25,47,4,31,2002,(81kg),(183cm),"Right-Handed, One-Handed Backhand",58%,75%,56%,68%,86%,67%,29%,50%,39%,23%,38%,52%,0.667,0.000,0.000,0.333,0.000,0.000,1.000,0.000,0.000,0.000,0.667,0.000,0.000,0.667,1.000,0.500,0.667,0.000,0.636,0.730,0.592,0.514,0.359,0.600,0.585,0.558,0.671,0.529,0.635,0.462,0.551,0.658,0.844,0.338,0.640,0.609,29,30,2006,(86kg),(193cm),"Right-Handed, Two-Handed Backhand",61%,73%,49%,62%,79%,64%,29%,49%,38%,21%,37%,50%,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.500,1.000,0.000,0.000,1.000,0.537,0.581,0.444,0.495,0.129,0.333,0.574,0.517,0.508,0.549,0.547,0.000,0.573,0.526,0.852,0.236,0.525,0.621
2017.01.01,Brisbane International presented by Suncorp,"Brisbane, Australia",Outdoor,Hard,"$495,630",Kei Nishikori,/en/players/kei-nishikori/n552/overview,Jared Donaldson,/en/players/jared-donaldson/dc58/overview,1,4,6,6,4,6,3,0,0,0,0,/en/tournaments/brisbane-international-presented-by-suncorp/339/2017/match-stats/N552/DC58/live/MS013/match-stats,3,3,62,71,44,50,15,41,51,38,14,61,45,53,6,4,57,59,49,62,14,29,56,50,15,55,39,47,5,27,2007,(75kg),(178cm),"Right-Handed, Two-Handed Backhand",61%,72%,55%,67%,83%,66%,31%,54%,43%,30%,40%,53%,0.750,0.000,0.000,1.000,1.000,0.000,0.500,0.000,0.000,0.000,0.750,0.000,0.000,0.750,1.000,0.500,0.750,0.000,0.680,0.682,0.643,0.591,0.376,0.524,0.769,0.737,0.718,0.596,0.682,1.000,0.709,0.673,0.908,0.364,0.679,0.691,101,20,2014,(75kg),(188cm),"Right-Handed, Two-Handed Backhand",51%,73%,51%,53%,75%,62%,26%,50%,45%,22%,37%,49%,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.500,0.500,0.000,0.000,1.000,0.375,0.400,0.444,0.250,0.000,0.000,0.455,0.000,0.000,0.250,0.393,0.000,0.333,0.379,0.643,0.167,0.375,0.375
